benchmark,expected,actual,time_s,result
Short_public_java_lang_String_java_lang_Short_toString,false,UNKNOWN,.48s,UNKNOWN
Short_public_long_java_lang_Short_longValue,false,UNKNOWN,.49s,UNKNOWN
Short_public_short_java_lang_Short_shortValue,false,UNKNOWN,.49s,UNKNOWN
Short_public_static_int_java_lang_Short_compare_short_short,false,UNKNOWN,.48s,UNKNOWN
Short_public_static_int_java_lang_Short_toUnsignedInt_short,false,UNKNOWN,.48s,UNKNOWN
Short_public_static_java_lang_Short_java_lang_Short_valueOf_short,false,UNKNOWN,.50s,UNKNOWN
Short_public_static_java_lang_String_java_lang_Short_toString_short,false,UNKNOWN,.48s,UNKNOWN
Short_public_static_long_java_lang_Short_toUnsignedLong_short,false,UNKNOWN,.50s,UNKNOWN
Short_public_static_short_java_lang_Short_reverseBytes_short,false,UNKNOWN,.49s,UNKNOWN
StrictMath_public_static_int_java_lang_StrictMath_abs_int,false,UNKNOWN,.50s,UNKNOWN
StrictMath_public_static_int_java_lang_StrictMath_getExponent_double,false,UNKNOWN,.49s,UNKNOWN
StrictMath_public_static_int_java_lang_StrictMath_getExponent_float,false,UNKNOWN,.48s,UNKNOWN
StrictMath_public_static_int_java_lang_StrictMath_max_int_int,false,UNKNOWN,.50s,UNKNOWN
StrictMath_public_static_int_java_lang_StrictMath_min_int_int,false,UNKNOWN,.50s,UNKNOWN
StrictMath_public_static_int_java_lang_StrictMath_round_float,false,UNKNOWN,.48s,UNKNOWN
StrictMath_public_static_long_java_lang_StrictMath_abs_long,false,UNKNOWN,.49s,UNKNOWN
StrictMath_public_static_long_java_lang_StrictMath_max_long_long,false,UNKNOWN,.50s,UNKNOWN
StrictMath_public_static_long_java_lang_StrictMath_min_long_long,false,UNKNOWN,.49s,UNKNOWN
StrictMath_public_static_long_java_lang_StrictMath_round_double,false,UNKNOWN,.50s,UNKNOWN
String_public_boolean_java_lang_String_endsWith_java_lang_String,false,false,.69s,CORRECT
String_public_boolean_java_lang_String_equalsIgnoreCase_java_lang_String,false,UNKNOWN,.49s,UNKNOWN
String_public_boolean_java_lang_String_isEmpty,false,false,.63s,CORRECT
String_public_boolean_java_lang_String_regionMatches_boolean_int_java_lang_String_int_int,false,UNKNOWN,.50s,UNKNOWN
String_public_boolean_java_lang_String_regionMatches_int_java_lang_String_int_int,false,UNKNOWN,.50s,UNKNOWN
String_public_boolean_java_lang_String_startsWith_java_lang_String,false,false,.69s,CORRECT
String_public_boolean_java_lang_String_startsWith_java_lang_String_int,false,UNKNOWN,.50s,UNKNOWN
String_public_int_java_lang_String_compareToIgnoreCase_java_lang_String,false,UNKNOWN,.49s,UNKNOWN
String_public_int_java_lang_String_compareTo_java_lang_String,false,UNKNOWN,.49s,UNKNOWN
String_public_int_java_lang_String_indexOf_int,false,UNKNOWN,.50s,UNKNOWN
String_public_int_java_lang_String_indexOf_int_int,false,UNKNOWN,.50s,UNKNOWN
String_public_int_java_lang_String_indexOf_java_lang_String,false,UNKNOWN,.51s,UNKNOWN
String_public_int_java_lang_String_indexOf_java_lang_String_int,false,UNKNOWN,.50s,UNKNOWN
String_public_int_java_lang_String_lastIndexOf_int,false,UNKNOWN,.50s,UNKNOWN
String_public_int_java_lang_String_lastIndexOf_int_int,false,UNKNOWN,.50s,UNKNOWN
String_public_int_java_lang_String_lastIndexOf_java_lang_String,false,UNKNOWN,.50s,UNKNOWN
String_public_int_java_lang_String_lastIndexOf_java_lang_String_int,false,UNKNOWN,.50s,UNKNOWN
String_public_int_java_lang_String_length,false,UNKNOWN,.51s,UNKNOWN
String_public_java_lang_String_java_lang_String_concat_java_lang_String,false,false,.76s,CORRECT
String_public_java_lang_String_java_lang_String_replace_char_char,false,UNKNOWN,.48s,UNKNOWN
String_public_java_lang_String_java_lang_String_toLowerCase,false,false,.48s,CORRECT
String_public_java_lang_String_java_lang_String_toString,false,UNKNOWN,.58s,UNKNOWN
String_public_java_lang_String_java_lang_String_toUpperCase,false,false,.48s,CORRECT
String_public_java_lang_String_java_lang_String_trim,false,UNKNOWN,.58s,UNKNOWN
String_public_static_java_lang_String_java_lang_String_valueOf_boolean,false,UNKNOWN,.50s,UNKNOWN
String_public_static_java_lang_String_java_lang_String_valueOf_char,false,UNKNOWN,.49s,UNKNOWN
String_public_static_java_lang_String_java_lang_String_valueOf_double,false,UNKNOWN,.48s,UNKNOWN
String_public_static_java_lang_String_java_lang_String_valueOf_float,false,UNKNOWN,.48s,UNKNOWN
String_public_static_java_lang_String_java_lang_String_valueOf_int,false,UNKNOWN,.49s,UNKNOWN
String_public_static_java_lang_String_java_lang_String_valueOf_long,false,UNKNOWN,.48s,UNKNOWN
