tool	JPF svcomp@766cc2a	JPF svcomp@766cc2a	JPF svcomp@766cc2a	JPF svcomp@766cc2a
run set	autostub	autostub	autostub	autostub
results/autostub/	status	cputime (s)	walltime (s)	memory (MB)
Integer_public_double_java_lang_Integer_doubleValue	unknown	0.507000	0.507000	0.000000
Integer_public_float_java_lang_Integer_floatValue	unknown	0.495000	0.495000	0.000000
Integer_public_int_java_lang_Integer_compareTo_java_lang_Integer	unknown	0.491000	0.491000	0.000000
Integer_public_int_java_lang_Integer_intValue	unknown	0.488000	0.488000	0.000000
Integer_public_java_lang_String_java_lang_Integer_toString	unknown	0.508000	0.508000	0.000000
Integer_public_long_java_lang_Integer_longValue	unknown	0.514000	0.514000	0.000000
Integer_public_short_java_lang_Integer_shortValue	unknown	0.515000	0.515000	0.000000
Integer_public_static_int_java_lang_Integer_bitCount_int	unknown	0.509000	0.509000	0.000000
Integer_public_static_int_java_lang_Integer_compareUnsigned_int_int	unknown	0.511000	0.511000	0.000000
Integer_public_static_int_java_lang_Integer_compare_int_int	unknown	0.491000	0.491000	0.000000
Integer_public_static_int_java_lang_Integer_highestOneBit_int	unknown	0.499000	0.499000	0.000000
Integer_public_static_int_java_lang_Integer_lowestOneBit_int	unknown	0.498000	0.498000	0.000000
Integer_public_static_int_java_lang_Integer_max_int_int	unknown	0.496000	0.496000	0.000000
Integer_public_static_int_java_lang_Integer_min_int_int	unknown	0.503000	0.503000	0.000000
Integer_public_static_int_java_lang_Integer_numberOfLeadingZeros_int	unknown	0.520000	0.520000	0.000000
Integer_public_static_int_java_lang_Integer_numberOfTrailingZeros_int	unknown	0.523000	0.523000	0.000000
Integer_public_static_int_java_lang_Integer_reverseBytes_int	unknown	0.519000	0.519000	0.000000
Integer_public_static_int_java_lang_Integer_reverse_int	unknown	0.531000	0.531000	0.000000
Integer_public_static_int_java_lang_Integer_rotateLeft_int_int	unknown	0.502000	0.502000	0.000000
Integer_public_static_int_java_lang_Integer_rotateRight_int_int	unknown	0.533000	0.533000	0.000000
Integer_public_static_int_java_lang_Integer_signum_int	unknown	0.521000	0.521000	0.000000
Integer_public_static_int_java_lang_Integer_sum_int_int	unknown	0.524000	0.524000	0.000000
Integer_public_static_java_lang_Integer_java_lang_Integer_getInteger_java_lang_String_int	unknown	0.510000	0.510000	0.000000
Integer_public_static_java_lang_Integer_java_lang_Integer_getInteger_java_lang_String_java_lang_Integer	unknown	0.509000	0.509000	0.000000
Integer_public_static_java_lang_Integer_java_lang_Integer_valueOf_int	unknown	0.507000	0.507000	0.000000
Integer_public_static_java_lang_String_java_lang_Integer_toBinaryString_int	unknown	0.480000	0.480000	0.000000
Integer_public_static_java_lang_String_java_lang_Integer_toHexString_int	unknown	0.497000	0.497000	0.000000
Integer_public_static_java_lang_String_java_lang_Integer_toOctalString_int	unknown	0.495000	0.495000	0.000000
Integer_public_static_java_lang_String_java_lang_Integer_toString_int	unknown	0.497000	0.497000	0.000000
Integer_public_static_java_lang_String_java_lang_Integer_toString_int_int	unknown	0.490000	0.490000	0.000000
Integer_public_static_java_lang_String_java_lang_Integer_toUnsignedString_int	unknown	0.493000	0.493000	0.000000
Integer_public_static_java_lang_String_java_lang_Integer_toUnsignedString_int_int	unknown	0.508000	0.508000	0.000000
Integer_public_static_long_java_lang_Integer_toUnsignedLong_int	unknown	0.493000	0.493000	0.000000
Long_public_byte_java_lang_Long_byteValue	unknown	0.481000	0.481000	0.000000
