tool	JPF []	JPF []	JPF []	JPF []
run set	all-suites	all-suites	all-suites	all-suites
merged-results/	status	cputime (s)	walltime (s)	memory (MB)
Float_public_boolean_java_lang_Float_isInfinite	unknown	0.479000	0.479000	0.000000
Float_public_boolean_java_lang_Float_isNaN	unknown	0.465000	0.465000	0.000000
Float_public_byte_java_lang_Float_byteValue	unknown	0.481000	0.481000	0.000000
Float_public_int_java_lang_Float_compareTo_java_lang_Float	unknown	0.472000	0.472000	0.000000
Float_public_int_java_lang_Float_intValue	unknown	0.477000	0.477000	0.000000
Float_public_java_lang_String_java_lang_Float_toString	unknown	0.479000	0.479000	0.000000
Float_public_long_java_lang_Float_longValue	unknown	0.471000	0.471000	0.000000
Float_public_short_java_lang_Float_shortValue	unknown	0.473000	0.473000	0.000000
Float_public_static_boolean_java_lang_Float_isFinite_float	unknown	0.478000	0.478000	0.000000
Float_public_static_boolean_java_lang_Float_isInfinite_float	unknown	0.489000	0.489000	0.000000
Float_public_static_boolean_java_lang_Float_isNaN_float	unknown	0.474000	0.474000	0.000000
Float_public_static_int_java_lang_Float_compare_float_float	unknown	0.483000	0.483000	0.000000
Float_public_static_int_java_lang_Float_floatToIntBits_float	unknown	0.465000	0.465000	0.000000
Float_public_static_java_lang_String_java_lang_Float_toHexString_float	unknown	0.476000	0.476000	0.000000
Float_public_static_java_lang_String_java_lang_Float_toString_float	unknown	0.484000	0.484000	0.000000
Float_public_static_native_int_java_lang_Float_floatToRawIntBits_float	unknown	0.474000	0.474000	0.000000
Integer_public_static_java_lang_Integer_java_lang_Integer_getInteger_java_lang_String_int	unknown	0.487000	0.487000	0.000000
Integer_public_static_java_lang_Integer_java_lang_Integer_getInteger_java_lang_String_java_lang_Integer	unknown	0.480000	0.480000	0.000000
Long_public_byte_java_lang_Long_byteValue	unknown	0.477000	0.477000	0.000000
Long_public_double_java_lang_Long_doubleValue	unknown	0.474000	0.474000	0.000000
Long_public_float_java_lang_Long_floatValue	unknown	0.470000	0.470000	0.000000
Long_public_int_java_lang_Long_compareTo_java_lang_Long	unknown	0.473000	0.473000	0.000000
Long_public_int_java_lang_Long_intValue	unknown	0.474000	0.474000	0.000000
Long_public_java_lang_String_java_lang_Long_toString	unknown	0.478000	0.478000	0.000000
Long_public_long_java_lang_Long_longValue	unknown	0.475000	0.475000	0.000000
Long_public_short_java_lang_Long_shortValue	unknown	0.479000	0.479000	0.000000
Long_public_static_int_java_lang_Long_bitCount_long	unknown	0.478000	0.478000	0.000000
Long_public_static_int_java_lang_Long_compareUnsigned_long_long	unknown	0.476000	0.476000	0.000000
Long_public_static_int_java_lang_Long_compare_long_long	unknown	0.484000	0.484000	0.000000
Long_public_static_int_java_lang_Long_numberOfLeadingZeros_long	unknown	0.479000	0.479000	0.000000
Long_public_static_int_java_lang_Long_numberOfTrailingZeros_long	unknown	0.462000	0.462000	0.000000
Long_public_static_int_java_lang_Long_signum_long	unknown	0.479000	0.479000	0.000000
Long_public_static_java_lang_Long_java_lang_Long_getLong_java_lang_String_java_lang_Long	unknown	0.476000	0.476000	0.000000
Long_public_static_java_lang_Long_java_lang_Long_getLong_java_lang_String_long	unknown	0.476000	0.476000	0.000000
Long_public_static_java_lang_Long_java_lang_Long_valueOf_long	unknown	0.476000	0.476000	0.000000
Long_public_static_java_lang_String_java_lang_Long_toBinaryString_long	unknown	0.483000	0.483000	0.000000
Long_public_static_java_lang_String_java_lang_Long_toHexString_long	unknown	0.484000	0.484000	0.000000
Long_public_static_java_lang_String_java_lang_Long_toOctalString_long	unknown	0.475000	0.475000	0.000000
Long_public_static_java_lang_String_java_lang_Long_toString_long	unknown	0.484000	0.484000	0.000000
Long_public_static_java_lang_String_java_lang_Long_toString_long_int	unknown	0.476000	0.476000	0.000000
Long_public_static_java_lang_String_java_lang_Long_toUnsignedString_long	unknown	0.485000	0.485000	0.000000
Long_public_static_java_lang_String_java_lang_Long_toUnsignedString_long_int	unknown	0.472000	0.472000	0.000000
Long_public_static_long_java_lang_Long_highestOneBit_long	unknown	0.478000	0.478000	0.000000
Long_public_static_long_java_lang_Long_lowestOneBit_long	unknown	0.482000	0.482000	0.000000
Long_public_static_long_java_lang_Long_max_long_long	unknown	0.471000	0.471000	0.000000
Long_public_static_long_java_lang_Long_min_long_long	unknown	0.471000	0.471000	0.000000
Long_public_static_long_java_lang_Long_reverseBytes_long	unknown	0.471000	0.471000	0.000000
Long_public_static_long_java_lang_Long_reverse_long	unknown	0.466000	0.466000	0.000000
Long_public_static_long_java_lang_Long_rotateLeft_long_int	unknown	0.475000	0.475000	0.000000
Long_public_static_long_java_lang_Long_rotateRight_long_int	unknown	0.465000	0.465000	0.000000
Long_public_static_long_java_lang_Long_sum_long_long	unknown	0.473000	0.473000	0.000000
Math_public_static_int_java_lang_Math_getExponent_double	unknown	0.464000	0.464000	0.000000
Math_public_static_int_java_lang_Math_getExponent_float	unknown	0.476000	0.476000	0.000000
Math_public_static_int_java_lang_Math_round_float	unknown	0.492000	0.492000	0.000000
Math_public_static_long_java_lang_Math_abs_long	unknown	0.473000	0.473000	0.000000
Math_public_static_long_java_lang_Math_max_long_long	unknown	0.467000	0.467000	0.000000
Math_public_static_long_java_lang_Math_min_long_long	unknown	0.469000	0.469000	0.000000
Math_public_static_long_java_lang_Math_round_double	unknown	0.474000	0.474000	0.000000
Short_public_byte_java_lang_Short_byteValue	unknown	0.459000	0.459000	0.000000
Short_public_double_java_lang_Short_doubleValue	unknown	0.461000	0.461000	0.000000
Short_public_float_java_lang_Short_floatValue	unknown	0.485000	0.485000	0.000000
Short_public_int_java_lang_Short_compareTo_java_lang_Short	unknown	0.473000	0.473000	0.000000
Short_public_int_java_lang_Short_intValue	unknown	0.472000	0.472000	0.000000
Short_public_java_lang_String_java_lang_Short_toString	unknown	0.484000	0.484000	0.000000
Short_public_long_java_lang_Short_longValue	unknown	0.472000	0.472000	0.000000
Short_public_short_java_lang_Short_shortValue	unknown	0.477000	0.477000	0.000000
Short_public_static_int_java_lang_Short_compare_short_short	unknown	0.478000	0.478000	0.000000
Short_public_static_int_java_lang_Short_toUnsignedInt_short	unknown	0.475000	0.475000	0.000000
Short_public_static_java_lang_Short_java_lang_Short_valueOf_short	unknown	0.465000	0.465000	0.000000
Short_public_static_java_lang_String_java_lang_Short_toString_short	unknown	0.483000	0.483000	0.000000
Short_public_static_long_java_lang_Short_toUnsignedLong_short	unknown	0.476000	0.476000	0.000000
Short_public_static_short_java_lang_Short_reverseBytes_short	unknown	0.476000	0.476000	0.000000
StrictMath_public_static_int_java_lang_StrictMath_getExponent_double	unknown	0.471000	0.471000	0.000000
StrictMath_public_static_int_java_lang_StrictMath_getExponent_float	unknown	0.478000	0.478000	0.000000
StrictMath_public_static_int_java_lang_StrictMath_round_float	unknown	0.478000	0.478000	0.000000
StrictMath_public_static_long_java_lang_StrictMath_abs_long	unknown	0.473000	0.473000	0.000000
StrictMath_public_static_long_java_lang_StrictMath_max_long_long	unknown	0.476000	0.476000	0.000000
StrictMath_public_static_long_java_lang_StrictMath_min_long_long	unknown	0.471000	0.471000	0.000000
StrictMath_public_static_long_java_lang_StrictMath_round_double	unknown	0.475000	0.475000	0.000000
String_public_boolean_java_lang_String_endsWith_java_lang_String	correct	0.660000	0.660000	0.000000
String_public_boolean_java_lang_String_equalsIgnoreCase_java_lang_String	unknown	0.493000	0.493000	0.000000
String_public_boolean_java_lang_String_isEmpty	correct	0.634000	0.634000	0.000000
