tool	JPF []	JPF []	JPF []	JPF []
run set	all-suites	all-suites	all-suites	all-suites
merged-results/	status	cputime (s)	walltime (s)	memory (MB)
Character_public_static_boolean_java_lang_Character_isJavaLetter_char	unknown	0.439000	0.439000	0.000000
Character_public_static_boolean_java_lang_Character_isLetterOrDigit_char	unknown	0.464000	0.464000	0.000000
Character_public_static_boolean_java_lang_Character_isLetter_char	unknown	0.461000	0.461000	0.000000
Character_public_static_boolean_java_lang_Character_isLowerCase_char	unknown	0.455000	0.455000	0.000000
Character_public_static_boolean_java_lang_Character_isMirrored_char	unknown	0.446000	0.446000	0.000000
Character_public_static_boolean_java_lang_Character_isSpaceChar_char	unknown	0.443000	0.443000	0.000000
Character_public_static_boolean_java_lang_Character_isSpace_char	unknown	0.459000	0.459000	0.000000
Character_public_static_boolean_java_lang_Character_isUnicodeIdentifierPart_char	unknown	0.446000	0.446000	0.000000
Character_public_static_boolean_java_lang_Character_isUnicodeIdentifierStart_char	unknown	0.447000	0.447000	0.000000
Character_public_static_boolean_java_lang_Character_isUpperCase_char	unknown	0.449000	0.449000	0.000000
Character_public_static_boolean_java_lang_Character_isWhitespace_char	unknown	0.459000	0.459000	0.000000
Character_public_static_byte_java_lang_Character_getDirectionality_char	unknown	0.455000	0.455000	0.000000
Character_public_static_char_java_lang_Character_toLowerCase_char	unknown	0.443000	0.443000	0.000000
Character_public_static_char_java_lang_Character_toTitleCase_char	unknown	0.452000	0.452000	0.000000
Character_public_static_char_java_lang_Character_toUpperCase_char	unknown	0.440000	0.440000	0.000000
Character_public_static_int_java_lang_Character_compare_char_char	unknown	0.450000	0.450000	0.000000
Character_public_static_int_java_lang_Character_digit_char_int	unknown	0.449000	0.449000	0.000000
Character_public_static_int_java_lang_Character_getNumericValue_char	unknown	0.451000	0.451000	0.000000
Character_public_static_int_java_lang_Character_getType_char	unknown	0.454000	0.454000	0.000000
Character_public_static_int_java_lang_Character_toCodePoint_char_char	unknown	0.435000	0.435000	0.000000
Character_public_static_java_lang_Character_java_lang_Character_valueOf_char	unknown	0.451000	0.451000	0.000000
Character_public_static_java_lang_String_java_lang_Character_toString_char	unknown	0.454000	0.454000	0.000000
Double_public_boolean_java_lang_Double_isInfinite	unknown	0.460000	0.460000	0.000000
Double_public_boolean_java_lang_Double_isNaN	unknown	0.467000	0.467000	0.000000
Double_public_byte_java_lang_Double_byteValue	unknown	0.453000	0.453000	0.000000
Double_public_int_java_lang_Double_compareTo_java_lang_Double	unknown	0.448000	0.448000	0.000000
Double_public_int_java_lang_Double_intValue	unknown	0.462000	0.462000	0.000000
Double_public_java_lang_String_java_lang_Double_toString	unknown	0.450000	0.450000	0.000000
Double_public_long_java_lang_Double_longValue	unknown	0.460000	0.460000	0.000000
Double_public_short_java_lang_Double_shortValue	unknown	0.451000	0.451000	0.000000
Double_public_static_boolean_java_lang_Double_isFinite_double	unknown	0.448000	0.448000	0.000000
Double_public_static_boolean_java_lang_Double_isInfinite_double	unknown	0.448000	0.448000	0.000000
Double_public_static_boolean_java_lang_Double_isNaN_double	unknown	0.451000	0.451000	0.000000
Double_public_static_int_java_lang_Double_compare_double_double	unknown	0.450000	0.450000	0.000000
